env,lr,discount,epsilon,min_eps,states_size,episodes,monitor_reward_eps,display,img_folder,seed,duration_sec,last_reward,mean_rewards
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.99,0.1,"[10, 100]",5000,10,False,imgs,2019,21.687734365463253,-193.0,-199.6076
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.99,0.1,"[15, 80]",5000,10,False,imgs,2019,21.670020818710327,-195.6,-199.4268
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.99,0.1,"[10, 200]",5000,10,False,imgs,2019,21.58194875717163,-187.7,-199.0486
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.3,0.9,0.8,0.0,"[5, 50]",5000,10,False,imgs,2019,22.12080454826355,-196.6,-199.8864
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.3,0.9,0.8,0.0,"[10, 100]",5000,10,False,imgs,2019,21.968544244766235,-170.4,-198.9524
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.3,0.9,0.8,0.0,"[15, 80]",5000,10,False,imgs,2019,21.94722580909729,-195.1,-199.1668
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.3,0.9,0.8,0.0,"[10, 200]",5000,10,False,imgs,2019,22.0840003490448,-173.0,-198.9942
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.3,0.9,0.8,0.1,"[5, 50]",5000,10,False,imgs,2019,22.093977212905887,-200.0,-200.0
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.3,0.9,0.8,0.1,"[10, 100]",5000,10,False,imgs,2019,22.04005265235901,-200.0,-199.7204
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.3,0.9,0.8,0.1,"[15, 80]",5000,10,False,imgs,2019,21.972979307174683,-195.8,-199.8448
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.3,0.9,0.8,0.1,"[10, 200]",5000,10,False,imgs,2019,22.017022371292114,-200.0,-199.5254
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.3,0.9,0.9,0.0,"[5, 50]",5000,10,False,imgs,2019,21.97521996498108,-200.0,-199.9776
